hotel_name,star,rating,rating_title,price,latitude,longitude,city_name
Hôtel La Casa Pairal,4.0,8.7,Superbe,145.5,42.52616733,3.08235571,Collioure
Eden Rose Grand Hotel BW Premier Collection,4.0,8.7,Superbe,203.4,43.152872,6.342654,Bormes les Mimosas
Hotel Les Jardins de Bormes,3.0,8.6,Superbe,93.3,43.14893354,6.30326629,Bormes les Mimosas
Hotel La Voile,3.0,7.9,Bien,,43.12549,6.3573,Bormes les Mimosas
Hotel Méditerranée,3.0,7.9,Bien,,42.52708254,3.08026291,Collioure
Hostellerie du Cigalou - Les Collectionneurs,3.0,8.0,Très bien,83.3,43.1519579,6.3432835,Bormes les Mimosas
Hôtel Princes de Catalogne,3.0,8.1,Très bien,,42.52591431,3.0826816,Collioure
La Frégate,3.0,8.1,Très bien,85.3,42.52638625,3.08325659,Collioure
Le Madeloc Hôtel & Spa,3.0,8.8,Superbe,106.48,42.52876467,3.07865426,Collioure
Le Mas des Citronniers,3.0,8.0,Très bien,,42.52538159,3.08256391,Collioure
Hôtel des Templiers,2.0,8.1,Très bien,89.98,42.52666546,3.08394089,Collioure
Hôtel Les Mimosas,2.0,7.6,Bien,,43.14918793,6.30026087,Bormes les Mimosas
Hôtel Paradis,2.0,7.9,Bien,57.0,43.144686,6.335125,Bormes les Mimosas
Hôtel Triton,2.0,7.4,Bien,64.0,42.52371617,3.08713473,Collioure
Hotel Restaurant Bellevue,2.0,7.7,Bien,67.0,43.15187759,6.34313598,Bormes les Mimosas
