id,name,latitude,longitude
0,Mont Saint Michel,48.6359541,-1.5114599549595142
1,St Malo,48.649518,-2.0260409
2,Bayeux,49.2764624,-0.7024738
3,Le Havre,49.493897499999996,0.10797319999999999
4,Rouen,49.4404591,1.0939658
5,Paris,48.858889700000006,2.3200410217200766
6,Amiens,49.8941708,2.2956951
7,Lille,50.636565399999995,3.0635282000000004
8,Strasbourg,48.584614,7.750712700000001
9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195
10,Colmar,48.07775170000001,7.3579641
11,Eguisheim,48.0447968,7.3079618
12,Besancon,47.2380222,6.0243622000000006
13,Dijon,47.321580600000004,5.0414701
14,Annecy,45.8992348,6.1288847
15,Grenoble,45.1875602,5.7357819
16,Lyon,45.75781370000001,4.8320114
17,Gorges du Verdon,43.749656200000004,6.3285616
18,Bormes les Mimosas,43.157217200000005,6.329253867921362
19,Cassis,43.2140359,5.5396317999999996
20,Marseille,43.2961743,5.3699525
21,Aix en Provence,43.5298424,5.4474738
22,Avignon,43.9492493,4.8059012
23,Uzes,44.012127899999996,4.4196718
24,Nimes,43.8374249,4.3600687
25,Aigues Mortes,43.565822499999996,4.1912837
26,Saintes Maries de la mer,43.4522771,4.4287171999999995
27,Collioure,42.52505,3.0831554
28,Carcassonne,43.21303579999999,2.3491068999999998
29,Ariege,42.9455368,1.4065544156065486
30,Toulouse,43.6044622,1.4442469
31,Montauban,44.0175835,1.3549991000000001
32,Biarritz,43.47114375,-1.5527265906663141
33,Bayonne,43.49333789999999,-1.475099
34,La Rochelle,46.1591126,-1.1520434
